Form,Entry,Suffix,Author,Text,Book,Verse
ἶφι ,ἶφι,φι,Homer,Iliad,1,38
ἶφι ,ἶφι,φι,Homer,Iliad,1,151
νόϲφι,νόϲφι,φι,Homer,Iliad,1,349
ἶφι ,ἶφι,φι,Homer,Iliad,1,452
ἀπονόϲφι,ἀπονόϲφι,φι,Homer,Iliad,2,233
ἀγέληφι,ἀγέληφι,φι,Homer,Iliad,2,480
ἶφι ,ἶφι,φι,Homer,Iliad,2,720
ἶφι ,ἶφι,φι,Homer,Iliad,3,375
νόϲφι,νόϲφι,φι,Homer,Iliad,4,9
ἶφι,ἶφι,φι,Homer,Iliad,4,287
ὄχεϲφι,ὄχεϲφι,φι,Homer,Iliad,4,297
ἠνορέηφι,ἠνορέηφι,φι,Homer,Iliad,4,303
ὄρεϲφι,ὄρεϲφι,φι,Homer,Iliad,4,452
ἶφι,ἶφι,φι,Homer,Iliad,5,606
ὄχεϲφι,ὄχεϲφι,φι,Homer,Iliad,5,28
ἶφι,ἶφι,φι,Homer,Iliad,6,478
ἀγλαΐηφι,ἀγλαΐηφι,φι,Homer,Iliad,6,510
ὄχεϲφι,ὄχεϲφι,φι,Homer,Iliad,8,41
ὄχεϲφι,ὄχεϲφι,φι,Homer,Iliad,8,136
ναῦφι,ναῦφι,φι,Homer,Iliad,8,474
νόϲφι,νόϲφι,φι,Homer,Iliad,8,490
Ἰλιόφι,Ἰλιόφι,φι,Homer,Iliad,8,561
φαινομένηφι,φαινομένηφι,φι,Homer,Iliad,9,618
φαινομένηφι,φαινομένηφι,φι,Homer,Iliad,9,678
κράτεϲφι,κράτεϲφι,φι,Homer,Iliad,10,156
ϲτρατόφι,ϲτρατόφι,φι,Homer,Iliad,10,347
νόϲφι,νόϲφι,φι,Homer,Iliad,11,80
νόϲφι,νόϲφι,φι,Homer,Iliad,11,284
χαλκόφι,χαλκόφι,φι,Homer,Iliad,11,351
ϲτήθεϲφι,ϲτήθεϲφι,φι,Homer,Iliad,11,374
φαινομένηφι,φαινομένηφι,φι,Homer,Iliad,11,685
ὄχεϲφι,ὄχεϲφι,φι,Homer,Iliad,12,119
βίηφι,βίηφι,φι,Homer,Iliad,12,135
βίηφι,βίηφι,φι,Homer,Iliad,12,256
αὐτόφι,αὐτόφι,φι,Homer,Iliad,12,302
ἶφι,ἶφι,φι,Homer,Iliad,12,367
νόϲφι,νόϲφι,φι,Homer,Iliad,12,466
ὄχεϲφι,ὄχεϲφι,φι,Homer,Iliad,13,23
κλιϲίηφι,κλιϲίηφι,φι,Homer,Iliad,13,168
γενεῆφι,γενεῆφι,φι,Homer,Iliad,14,112
νόϲφι,νόϲφι,φι,Homer,Iliad,14,256
νόϲφι,νόϲφι,φι,Homer,Iliad,14,439
ἀγλαΐηφι,ἀγλαΐηφι,φι,Homer,Iliad,15,267
νευρῆφι,νευρῆφι,φι,Homer,Iliad,15,313
εὐνῆφι,εὐνῆφι,φι,Homer,Iliad,15,580
ναῦφι,ναῦφι,φι,Homer,Iliad,16,246
ναῦφι,ναῦφι,φι,Homer,Iliad,16,281
ἀγέληφι,ἀγέληφι,φι,Homer,Iliad,16,487
ἑτέρηφι,ἑτέρηφι,φι,Homer,Iliad,16,734
νευρῆφι,νευρῆφι,φι,Homer,Iliad,16,773
ὄχεϲφι,ὄχεϲφι,φι,Homer,Iliad,16,811
δακρυόφι,δακρυόφι,φι,Homer,Iliad,17,696
ἶφι,ἶφι,φι,Homer,Iliad,18,14
ἑτέρηφι,ἑτέρηφι,φι,Homer,Iliad,18,477
Φθίηφι,Φθίηφι,φι,Homer,Iliad,19,323
ὄρεϲφι,ὄρεϲφι,φι,Homer,Iliad,19,376
ζυγόφι,ζυγόφι,φι,Homer,Iliad,19,404
ἶφι,ἶφι,φι,Homer,Iliad,19,417
νόϲφι,νόϲφι,φι,Homer,Iliad,19,422
ἀναγκαίηφι,ἀναγκαίηφι,φι,Homer,Iliad,20,143
ἶφι,ἶφι,φι,Homer,Iliad,21,208
Ἰλιόφι,Ἰλιόφι,φι,Homer,Iliad,21,295
βίηφι,βίηφι,φι,Homer,Iliad,21,367
γενεῆφι,γενεῆφι,φι,Homer,Iliad,21,439
ἶφι,ἶφι,φι,Homer,Iliad,21,486
κρατερῆφι,κρατερῆφι,φι,Homer,Iliad,21,501
ἑτέρηφι,ἑτέρηφι,φι,Homer,Iliad,22,80
ἧφι,ἧφι,φι,Homer,Iliad,22,107
βίηφι,βίηφι,φι,Homer,Iliad,22,107
ὄρεϲφι,ὄρεϲφι,φι,Homer,Iliad,22,189
νόϲφι,νόϲφι,φι,Homer,Iliad,22,508
ὄχεϲφι,ὄχεϲφι,φι,Homer,Iliad,23,7
βίηφι,βίηφι,φι,Homer,Iliad,23,315
νόϲφι,νόϲφι,φι,Homer,Iliad,23,365
δακρυόφι,δακρυόφι,φι,Homer,Iliad,23,397
ὄχεϲφι,ὄχεϲφι,φι,Homer,Iliad,23,518
παϲϲαλόφι,παϲϲαλόφι,φι,Homer,Iliad,24,268
δεξιτερῆφι,δεξιτερῆφι,φι,Homer,Iliad,24,284
νόϲφιν,νόϲφι,φιν,Homer,Iliad,1,541
νόϲφιν,νόϲφι,φιν,Homer,Iliad,2,347
φρήτρηφιν,φρήτρηφι,φιν,Homer,Iliad,2,363
ϲτήθεϲφιν,ϲτήθεϲφι,φιν,Homer,Iliad,2,388
ναῦφιν,ναῦφι,φιν,Homer,Iliad,2,794
παλάμηφιν,παλάμηφι,φιν,Homer,Iliad,3,338
παλάμηφιν,παλάμηφι,φιν,Homer,Iliad,3,368
βίηφιν,βίηφι,φιν,Homer,Iliad,4,325
ϲτήθεϲφιν,ϲτήθεϲφι,φιν,Homer,Iliad,5,41
ϲτήθεϲφιν,ϲτήθεϲφι,φιν,Homer,Iliad,5,57
ὄχεϲφιν,ὄχεϲφι,φιν,Homer,Iliad,5,107
ὄχεϲφιν,ὄχεϲφι,φιν,Homer,Iliad,5,219
νόϲφιν,νόϲφι,φιν,Homer,Iliad,5,322
ὄχεϲφιν,ὄχεϲφι,φιν,Homer,Iliad,5,794
νόϲφιν,νόϲφι,φιν,Homer,Iliad,5,803
νόϲφιν,νόϲφι,φιν,Homer,Iliad,6,443
θεόφιν,θεόφι,φιν,Homer,Iliad,7,366
ϲτήθεϲφιν,ϲτήθεϲφι,φιν,Homer,Iliad,8,259
ὄχεϲφιν,ὄχεϲφι,φιν,Homer,Iliad,8,290
νευρῆφιν,νευρῆφι,φιν,Homer,Iliad,8,300
νευρῆφιν,νευρῆφι,φιν,Homer,Iliad,8,309
ὄχεϲφιν,ὄχεϲφι,φιν,Homer,Iliad,8,565
νόϲφιν,νόϲφι,φιν,Homer,Iliad,9,348
ὄχεϲφιν,ὄχεϲφι,φιν,Homer,Iliad,9,384
Ἐρέβεϲφιν,Ἐρέβεϲφι,φιν,Homer,Iliad,9,568
κεφαλῆφιν,κεφαλῆφι,φιν,Homer,Iliad,10,30
κεφαλῆφιν,κεφαλῆφι,φιν,Homer,Iliad,10,257
κεφαλῆφιν,κεφαλῆφι,φιν,Homer,Iliad,10,261
νόϲφιν,νόϲφι,φιν,Homer,Iliad,10,416
κεφαλῆφιν,κεφαλῆφι,φιν,Homer,Iliad,10,458
κεφαλῆφιν,κεφαλῆφι,φιν,Homer,Iliad,10,496
αὐτόφιν,αὐτόφι,φιν,Homer,Iliad,11,44
κεφαλῆφιν,κεφαλῆφι,φιν,Homer,Iliad,11,350
ὄρεϲφιν,ὄρεϲφι,φιν,Homer,Iliad,11,474
ϲτήθεϲφιν,ϲτήθεϲφι,φιν,Homer,Iliad,11,448
ὄρεϲφιν,ὄρεϲφι,φιν,Homer,Iliad,11,493
νόϲφιν,νόϲφι,φιν,Homer,Iliad,11,554
ὄχεϲφιν,ὄχεϲφι,φιν,Homer,Iliad,11,698
ὄχεϲφιν,ὄχεϲφι,φιν,Homer,Iliad,12,91
ὄχεϲφιν,ὄχεϲφι,φιν,Homer,Iliad,12,114
βίηφιν,βίηφι,φιν,Homer,Iliad,12,153
ναῦφιν,ναῦφι,φιν,Homer,Iliad,12,225
νόϲφιν,νόϲφι,φιν,Homer,Iliad,13,4
δεξιόφιν,δεξιόφι,φιν,Homer,Iliad,13,308
ἀριϲτερόφιν,ἀριϲτερόφι,φιν,Homer,Iliad,13,309
νευρῆφιν,νευρῆφι,φιν,Homer,Iliad,13,585
πτυόφιν,πτυόφι,φιν,Homer,Iliad,13,588
ναῦφιν,ναῦφι,φιν,Homer,Iliad,13,700
ϲτήθεϲφιν,ϲτήθεϲφι,φιν,Homer,Iliad,14,150
ϲτήθεϲφιν,ϲτήθεϲφι,φιν,Homer,Iliad,14,214
θεόφιν,θεόφι,φιν,Homer,Iliad,14,317
ὄχεϲφιν,ὄχεϲφι,φιν,Homer,Iliad,15,3
νόϲφιν,νόϲφι,φιν,Homer,Iliad,15,244
νόϲφιν,νόϲφι,φιν,Homer,Iliad,15,548
βίηφιν,βίηφι,φιν,Homer,Iliad,15,614
παλάμηφιν,παλάμηφι,φιν,Homer,Iliad,16,139
κεφαλῆφιν,κεφαλῆφι,φιν,Homer,Iliad,16,762
βίηφιν,βίηφι,φιν,Homer,Iliad,16,826
θεόφιν,θεόφι,φιν,Homer,Iliad,17,101
νόϲφιν,νόϲφι,φιν,Homer,Iliad,17,382
νόϲφιν,νόϲφι,φιν,Homer,Iliad,17,408
θεόφιν,θεόφι,φιν,Homer,Iliad,17,477
ἀπονόϲφιν,ἀπονόϲφι,φιν,Homer,Iliad,17,664
ναῦφιν,ναῦφι,φιν,Homer,Iliad,18,305
νόϲφιν,νόϲφι,φιν,Homer,Iliad,18,465
ὄχεϲφιν,ὄχεϲφι,φιν,Homer,Iliad,18,237
αὐτόφιν,αὐτόφι,φιν,Homer,Iliad,19,255
νευρῆφιν,νευρῆφι,φιν,Homer,Iliad,21,113
νόϲφιν,νόϲφι,φιν,Homer,Iliad,21,135
βίηφιν,βίηφι,φιν,Homer,Iliad,21,501
ὄχεϲφιν,ὄχεϲφι,φιν,Homer,Iliad,22,22
ὄρεϲφιν,ὄρεϲφι,φιν,Homer,Iliad,22,139
ϲτήθεϲφιν,ϲτήθεϲφι,φιν,Homer,Iliad,22,284
νόϲφιν,νόϲφι,φιν,Homer,Iliad,22,332
ὄχεϲφιν,ὄχεϲφι,φιν,Homer,Iliad,23,130
θεόφιν,θεόφι,φιν,Homer,Iliad,23,347
ζυγόφιν,ζυγόφι,φιν,Homer,Iliad,24,576
νόϲφιν,νόϲφι,φιν,Homer,Iliad,24,583
φαινομένηφιν,φαινομένηφι,φιν,Homer,Iliad,24,600
νόϲφι,νόϲφι,φι,Homer,Odyssey,1,20
νόϲφι,νόϲφι,φι,Homer,Odyssey,1,185
βίηφιν,βίηφι,φιν,Homer,Odyssey,1,403
εὐνῆφιν,εὐνῆφι,φιν,Homer,Odyssey,2,2
εὐνῆφι,εὐνῆφι,φι,Homer,Odyssey,3,405
θεόφιν,θεόφι,φιν,Homer,Odyssey,3,409
θεόφιν,θεόφι,φιν,Homer,Odyssey,3,110
νόϲφιν,νόϲφι,φιν,Homer,Odyssey,3,193
ἰκριόφιν,ἰκριόφι,φιν,Homer,Odyssey,3,353
νόϲφιν,νόϲφι,φιν,Homer,Odyssey,4,289
νόϲφιν,νόϲφι,φιν,Homer,Odyssey,4,367
φαινομένηφιν,φαινομένηφι,φιν,Homer,Odyssey,4,407
ὄχεϲφιν,ὄχεϲφι,φιν,Homer,Odyssey,4,533
δακρυόφι,δακρυόφι,φι,Homer,Odyssey,4,705
